region,party
E14000530,Con
E14000531,Con
E14000532,Con
E14000533,Con
E14000534,Con
E14000535,Lab
E14000536,Con
E14000537,Lab
E14000538,Con
E14000539,Con
E14000540,Lab
E14000541,Lab
E14000542,Lab
E14000543,Lab
E14000544,Con
E14000545,Con
E14000546,Lab
E14000547,Con
E14000548,Lab
E14000549,Con
E14000550,Con
E14000551,Con
E14000552,Con
E14000553,Lab
E14000554,Con
E14000555,Lab
E14000556,Con
E14000557,Con
E14000558,Con
E14000559,Lab
E14000560,Lab
E14000561,Lab
E14000562,Lab
E14000563,Lab
E14000564,Lab
E14000565,Lab
E14000566,Lab
E14000567,Lab
E14000568,Lab
E14000569,Lab
E14000570,Lab
E14000571,Lab
E14000572,Con
E14000573,Lab
E14000574,Lab
E14000575,Lab
E14000576,Con
E14000577,Lab
E14000578,Lab
E14000579,Lab
E14000580,Con
E14000581,Lab
E14000582,Con
E14000583,Con
E14000584,Con
E14000585,Con
E14000586,Con
E14000587,Lab
E14000588,Lab
E14000589,Lab
E14000590,Con
E14000591,Lab
E14000592,Lab
E14000593,Lab
E14000594,Con
E14000595,Con
E14000596,Con
E14000597,Con
E14000598,Green
E14000599,Lab
E14000600,Con
E14000601,Lab
E14000602,Lab
E14000603,Con
E14000604,Con
E14000605,Con
E14000606,Con
E14000607,Con
E14000608,Spk
E14000609,Lab
E14000610,Con
E14000611,Con
E14000612,Lab
E14000613,Con
E14000614,Con
E14000615,Lab
E14000616,Con
E14000617,Lab
E14000618,Con
E14000619,Con
E14000620,Con
E14000621,LD
E14000622,Con
E14000623,Con
E14000624,Con
E14000625,Con
E14000626,Con
E14000627,Con
E14000628,Con
E14000629,Con
E14000630,Con
E14000631,Con
E14000632,Lab
E14000633,Con
E14000634,Con
E14000635,Con
E14000636,Con
E14000637,Lab
E14000638,Con
E14000639,Con
E14000640,Lab
E14000641,Lab
E14000642,UKIP
E14000643,Con
E14000644,Con
E14000645,Con
E14000646,Con
E14000647,Lab
E14000648,Con
E14000649,Lab
E14000650,Lab
E14000651,Lab
E14000652,Con
E14000653,Con
E14000654,Con
E14000655,Lab
E14000656,Con
E14000657,Lab
E14000658,Lab
E14000659,Con
E14000660,Con
E14000661,Lab
E14000662,Con
E14000663,Lab
E14000664,Con
E14000665,Con
E14000666,Lab
E14000667,Lab
E14000668,Lab
E14000669,Lab
E14000670,Con
E14000671,Lab
E14000672,Con
E14000673,Lab
E14000674,Lab
E14000675,Lab
E14000676,Lab
E14000677,Lab
E14000678,Con
E14000679,Lab
E14000680,Con
E14000681,Con
E14000682,Con
E14000683,Con
E14000684,Con
E14000685,Con
E14000686,Con
E14000687,Lab
E14000688,Lab
E14000689,Con
E14000690,Lab
E14000691,Lab
E14000692,Con
E14000693,Con
E14000694,Con
E14000695,Con
E14000696,Lab
E14000697,Con
E14000698,Lab
E14000699,Con
E14000700,Con
E14000701,Lab
E14000702,Con
E14000703,Con
E14000704,Con
E14000705,Con
E14000706,Con
E14000707,Con
E14000708,Lab
E14000709,Lab
E14000710,Lab
E14000711,Con
E14000712,Con
E14000713,Con
E14000714,Con
E14000715,Con
E14000716,Lab
E14000717,Con
E14000718,Lab
E14000719,Con
E14000720,Lab
E14000721,Lab
E14000722,Con
E14000723,Lab
E14000724,Con
E14000725,Lab
E14000726,Lab
E14000727,Lab
E14000728,Con
E14000729,Con
E14000730,Con
E14000731,Con
E14000732,Lab
E14000733,Lab
E14000734,Con
E14000735,Con
E14000736,Con
E14000737,Lab
E14000738,Con
E14000739,Con
E14000740,Lab
E14000741,Con
E14000742,Con
E14000743,Con
E14000744,Con
E14000745,Con
E14000746,Con
E14000747,Lab
E14000748,Con
E14000749,Con
E14000750,Lab
E14000751,Con
E14000752,Lab
E14000753,Con
E14000754,Lab
E14000755,Lab
E14000756,Lab
E14000757,Con
E14000758,Lab
E14000759,Lab
E14000760,Lab
E14000761,Con
E14000762,Con
E14000763,Lab
E14000764,Lab
E14000765,Lab
E14000766,Con
E14000767,Con
E14000768,Con
E14000769,Con
E14000770,Con
E14000771,Lab
E14000772,Lab
E14000773,Lab
E14000774,Con
E14000775,Lab
E14000776,Lab
E14000777,Lab
E14000778,Lab
E14000779,Lab
E14000780,LD
E14000781,Lab
E14000782,Lab
E14000783,Lab
E14000784,Lab
E14000785,Lab
E14000786,Con
E14000787,Lab
E14000788,Lab
E14000789,Lab
E14000790,Lab
E14000791,Con
E14000792,Con
E14000793,Lab
E14000794,Lab
E14000795,Lab
E14000796,Lab
E14000797,Con
E14000798,Con
E14000799,Con
E14000800,Lab
E14000801,Lab
E14000802,Con
E14000803,Con
E14000804,Con
E14000805,Lab
E14000806,Con
E14000807,Lab
E14000808,Lab
E14000809,Lab
E14000810,Lab
E14000811,Con
E14000812,Con
E14000813,Con
E14000814,Con
E14000815,Con
E14000816,Con
E14000817,Con
E14000818,Con
E14000819,Lab
E14000820,Lab
E14000821,Con
E14000822,Con
E14000823,Lab
E14000824,Con
E14000825,Con
E14000826,Con
E14000827,Con
E14000828,Con
E14000829,Con
E14000830,Con
E14000831,Lab
E14000832,Lab
E14000833,Lab
E14000834,Lab
E14000835,Con
E14000836,Lab
E14000837,Con
E14000838,Con
E14000839,Con
E14000840,Lab
E14000841,Con
E14000842,Con
E14000843,Lab
E14000844,Con
E14000845,Con
E14000846,Con
E14000847,Con
E14000848,LD
E14000849,Con
E14000850,Con
E14000851,Con
E14000852,Con
E14000853,Lab
E14000854,Con
E14000855,Con
E14000856,Lab
E14000857,Con
E14000858,Con
E14000859,Con
E14000860,Con
E14000861,Con
E14000862,Con
E14000863,Con
E14000864,Lab
E14000865,Lab
E14000866,Lab
E14000867,Lab
E14000868,Con
E14000869,Con
E14000870,Lab
E14000871,Lab
E14000872,Con
E14000873,Lab
E14000874,Con
E14000875,Con
E14000876,Lab
E14000877,Con
E14000878,Con
E14000879,Con
E14000880,Con
E14000881,Con
E14000882,Lab
E14000883,Con
E14000884,Con
E14000885,Lab
E14000886,Con
E14000887,Con
E14000888,Con
E14000889,Con
E14000890,Con
E14000891,Lab
E14000892,Con
E14000893,Con
E14000894,Con
E14000895,Con
E14000896,Con
E14000897,Lab
E14000898,Con
E14000899,Con
E14000900,Con
E14000901,Con
E14000902,Con
E14000903,Lab
E14000904,Lab
E14000905,Con
E14000906,Con
E14000907,Con
E14000908,Con
E14000909,Con
E14000910,Con
E14000911,Lab
E14000912,Con
E14000913,Con
E14000914,Lab
E14000915,Lab
E14000916,Lab
E14000917,Con
E14000918,Con
E14000919,Lab
E14000920,Lab
E14000921,Lab
E14000922,LD
E14000923,Lab
E14000924,Con
E14000925,Con
E14000926,Con
E14000927,Con
E14000928,Con
E14000929,Con
E14000930,Lab
E14000931,Con
E14000932,Con
E14000933,Con
E14000934,Con
E14000935,Con
E14000936,Con
E14000937,Con
E14000938,Con
E14000939,Con
E14000940,Con
E14000941,Con
E14000942,Con
E14000943,Con
E14000944,Lab
E14000945,Con
E14000946,Con
E14000947,Con
E14000948,Con
E14000949,Con
E14000950,Con
E14000951,Con
E14000952,Con
E14000953,Con
E14000954,Con
E14000955,Con
E14000956,Lab
E14000957,Con
E14000958,LD
E14000959,Con
E14000960,Con
E14000961,Con
E14000962,Lab
E14000963,Lab
E14000964,Con
E14000965,Con
E14000966,Con
E14000967,Lab
E14000968,Con
E14000969,Lab
E14000970,Lab
E14000971,Con
E14000972,Lab
E14000973,Lab
E14000974,Lab
E14000975,Con
E14000976,Con
E14000977,Con
E14000978,Lab
E14000979,Lab
E14000980,Con
E14000981,Con
E14000982,Lab
E14000983,Con
E14000984,Con
E14000985,Con
E14000986,Con
E14000987,Con
E14000988,Con
E14000989,Con
E14000990,Con
E14000991,Con
E14000992,Con
E14000993,Con
E14000994,Con
E14000995,Con
E14000996,Con
E14000997,Con
E14000998,Lab
E14000999,Con
E14001000,Con
E14001001,Con
E14001002,Lab
E14001003,Con
E14001004,Con
E14001005,Con
E14001006,Lab
E14001007,Con
E14001008,Lab
E14001009,Lab
E14001010,Lab
E14001011,Lab
E14001012,Lab
E14001013,Lab
E14001014,Lab
E14001015,Con
E14001016,Lab
E14001017,Lab
E14001018,Con
E14001019,Con
E14001020,Lab
E14001021,Con
E14001022,Con
E14001023,Con
E14001024,Con
E14001025,Con
E14001026,Con
E14001027,Con
E14001028,Lab
E14001029,Lab
E14001030,Lab
E14001031,Con
E14001032,Lab
E14001033,Lab
E14001034,Con
E14001035,Con
E14001036,Lab
E14001037,LD
E14001038,Con
E14001039,Lab
E14001040,Con
E14001041,Con
E14001042,Con
E14001043,Lab
E14001044,Lab
E14001045,Con
E14001046,Con
E14001047,Con
E14001048,Con
E14001049,Lab
E14001050,Lab
E14001051,Lab
E14001052,Con
E14001053,Lab
E14001054,Lab
E14001055,Con
E14001056,Con
E14001057,Con
E14001058,Con
E14001059,Lab
E14001060,Con
E14001061,Lab
E14001062,Con
N06000001,DUP
N06000002,DUP
N06000003,SDLP
N06000004,SF
N06000005,DUP
N06000006,DUP
N06000007,UUP
N06000008,SDLP
N06000009,DUP
N06000010,SF
N06000011,SF
N06000012,DUP
N06000013,Ind
N06000014,UUP
N06000015,SDLP
N06000016,DUP
N06000017,DUP
N06000018,SF
S14000001,SNP
S14000002,SNP
S14000003,SNP
S14000004,SNP
S14000005,SNP
S14000006,SNP
S14000007,SNP
S14000008,SNP
S14000009,SNP
S14000010,SNP
S14000011,SNP
S14000012,SNP
S14000013,SNP
S14000014,Con
S14000015,SNP
S14000016,SNP
S14000017,SNP
S14000018,SNP
S14000019,SNP
S14000020,SNP
S14000021,SNP
S14000022,SNP
S14000023,SNP
S14000024,Lab
S14000025,SNP
S14000026,SNP
S14000027,SNP
S14000028,SNP
S14000029,SNP
S14000030,SNP
S14000031,SNP
S14000032,SNP
S14000033,SNP
S14000034,SNP
S14000035,SNP
S14000036,SNP
S14000037,SNP
S14000038,SNP
S14000039,SNP
S14000040,SNP
S14000041,SNP
S14000042,SNP
S14000043,SNP
S14000044,SNP
S14000045,SNP
S14000046,SNP
S14000047,SNP
S14000048,SNP
S14000049,SNP
S14000050,SNP
S14000051,LD
S14000052,SNP
S14000053,SNP
S14000054,SNP
S14000055,SNP
S14000056,SNP
S14000057,SNP
S14000058,SNP
S14000059,SNP
W07000041,Lab
W07000042,Lab
W07000043,Lab
W07000044,Lab
W07000045,Lab
W07000046,Con
W07000047,Lab
W07000048,Lab
W07000049,Lab
W07000050,Lab
W07000051,Con
W07000052,Lab
W07000053,Lab
W07000054,Con
W07000055,Lab
W07000056,Lab
W07000057,PC
W07000058,Con
W07000059,Con
W07000060,Con
W07000061,PC
W07000062,Lab
W07000063,Con
W07000064,LD
W07000065,Con
W07000066,Con
W07000067,PC
W07000068,Con
W07000069,Lab
W07000070,Lab
W07000071,Lab
W07000072,Lab
W07000073,Lab
W07000074,Lab
W07000075,Lab
W07000076,Lab
W07000077,Lab
W07000078,Con
W07000079,Lab
W07000080,Lab