id,Population,Area (km2),Population/km2,ESA (000s),JSA (000s),IS (000s),Total (000s),% on benefits,People on benefits/km2
E14000843,91702,228,402,0.72,3.53,0.54,4.79,5.223441146,21
E14000844,99289,401,248,0.32,1.31,0.22,1.85,1.863247691,5
E14000845,99834,502,199,0.62,2.08,0.45,3.15,3.155237695,6
E14000846,93289,322,290,0.32,1.67,0.1,2.09,2.24034988,6
E14000847,88850,1456,61,0.46,2.18,0.29,2.93,3.297692741,2
E14000848,86710,755,115,0.47,2.76,0.24,3.47,4.001845231,5
E14000849,108046,935,116,0.69,3.14,0.4,4.23,3.914999167,5
E14000850,101628,232,438,0.33,2.09,0.21,2.63,2.587869485,11
E14000851,111308,106,1050,0.77,2.83,0.28,3.88,3.485823121,37
E14000852,97916,142,690,1.15,4.03,1,6.18,6.311532334,44
E14000853,103767,45,2306,1.5,4.96,1.34,7.8,7.516840614,173
E14000854,91681,266,345,0.83,3.04,0.45,4.32,4.711990489,16
E14000855,131985,746,177,1.12,3.99,0.49,5.6,4.242906391,8
E14000856,93772,701,134,1.16,4.32,0.82,6.3,6.71842341,9
E14000857,105821,589,180,0.55,2.31,0.27,3.13,2.957825006,5
E14000858,98644,279,354,0.68,2.79,0.26,3.73,3.781274076,13
E14000859,97522,874,112,0.79,3.8,0.35,4.94,5.065523677,6
E14000860,92755,714,130,0.44,1.64,0.22,2.3,2.479650693,3
E14000861,88943,22,4043,0.93,2.95,0.77,4.65,5.228067414,211
E14000862,101295,33,3070,1.08,4.26,0.99,6.33,6.249074485,192
E14000863,89321,36,2481,0.79,3.72,0.56,5.07,5.676156783,141
E14000864,103534,30,3451,0.98,4.95,0.65,6.58,6.355400158,219
E14000865,108161,19,5693,1.58,6.37,2.25,10.2,9.430386184,537
E14000866,100402,23,4365,2.68,6.71,1.95,11.34,11.29459573,493
E14000867,116719,33,3537,1.14,4.25,1.3,6.69,5.731714631,203
E14000868,92448,83,1114,1.05,3.7,0.7,5.45,5.895205954,66
E14000869,89409,25,3576,0.55,1.77,0.32,2.64,2.95272288,106
E14000870,105520,104,1015,1.25,4.57,0.73,6.55,6.207354056,63
E14000871,106695,31,3442,1.32,5.34,0.86,7.52,7.048127841,243
E14000872,91791,79,1162,0.74,1.92,0.38,3.04,3.311871534,38
E14000873,128847,31,4156,0.96,3.79,0.61,5.36,4.159972681,173
E14000874,110326,129,855,0.44,1.96,0.27,2.67,2.42010043,21
E14000875,90588,169,536,0.84,4.16,0.55,5.55,6.12663929,33
E14000876,88943,294,303,0.56,2.76,0.56,3.88,4.362344423,13
E14000877,82256,3134,26,0.28,2.17,0.18,2.63,3.197335149,1
E14000878,122459,175,700,1.6,5.75,0.74,8.09,6.606292718,46
E14000879,94047,34,2766,1.37,4.84,0.74,6.95,7.38992206,204
E14000880,114972,23,4999,1.36,6.8,1.58,9.74,8.471627875,423
E14000881,98650,41,2406,0.64,2.9,0.5,4.04,4.095286366,99
E14000882,158609,12,13217,1.89,5.26,1.32,8.47,5.340176156,706
E14000883,101271,43,2355,1.14,3.31,0.61,5.06,4.996494554,118
E14000884,113561,17,6680,1.29,4.53,1.1,6.92,6.093641303,407
E14000885,96568,27,3577,1.33,5.61,0.98,7.92,8.201474609,293
E14000886,91558,55,1665,0.52,2.23,0.42,3.17,3.462286201,58
E14000887,95695,13,7361,0.75,2.44,0.61,3.8,3.97094937,292
E14000888,100664,119,846,0.4,1.75,0.28,2.43,2.413971231,20
E14000889,113080,28,4039,0.67,2.48,0.73,3.88,3.431199151,139
E14000890,104644,51,2052,1.05,3.2,0.8,5.05,4.825885861,99
E14000891,86871,79,1100,1.72,4.61,1.47,7.8,8.97883068,99
E14000892,90591,149,608,0.88,2.88,0.61,4.37,4.823878752,29
E14000893,105429,112,941,0.47,2.32,0.33,3.12,2.959337564,28
E14000894,98623,633,156,0.3,2.52,0.29,3.11,3.15342263,5
E14000895,109504,2078,53,0.39,2,0.15,2.54,2.319549971,1
E14000896,124819,38,3285,0.51,2.05,0.6,3.16,2.531665852,83
E14000897,110229,86,1282,1.51,6.5,1.37,9.38,8.509557376,109
E14000898,112794,213,530,1.15,3.41,0.86,5.42,4.805220136,25
E14000899,103917,202,514,1.51,4.97,1.08,7.56,7.275036808,37
E14000900,102954,29,3550,0.9,2.48,0.72,4.1,3.982361054,141
E14000901,90245,420,215,0.39,1.77,0.19,2.35,2.604022384,6
E14000902,97558,217,450,0.83,4.41,0.61,5.85,5.996432891,27
E14000903,96141,167,576,1.03,3.49,0.71,5.23,5.439926774,31
E14000904,90972,45,2022,1.67,5.48,1.37,8.52,9.365519061,189
E14000905,100353,247,406,0.47,2.12,0.14,2.73,2.720396999,11
E14000906,98092,50,1962,0.43,1.89,0.4,2.72,2.772907067,54
E14000907,108692,94,1156,0.51,1.88,0.33,2.72,2.502484083,29
E14000908,97957,309,317,0.37,2.03,0.38,2.78,2.83797993,9
E14000909,103213,1118,92,0.35,1.77,0.21,2.33,2.257467567,2
E14000910,109801,795,138,0.43,1.77,0.26,2.46,2.240416754,3
E14000911,116535,32,3642,1.43,6.6,1.17,9.2,7.894623933,288
E14000912,94433,613,154,0.51,2.44,0.31,3.26,3.452183029,5
E14000913,96268,746,129,0.94,4.63,0.6,6.17,6.409191008,8
E14000914,91390,183,499,1.13,3.58,0.93,5.64,6.17135354,31
E14000915,84357,367,230,1.18,4.2,0.8,6.18,7.326007326,17
E14000916,83489,99,843,0.39,2.54,0.23,3.16,3.784929751,32
E14000917,99937,848,118,0.56,2.26,0.44,3.26,3.262055095,4
E14000918,96713,250,387,0.64,1.82,0.28,2.74,2.833124813,11
E14000919,128497,20,6425,1.15,4.65,1.53,7.33,5.704413333,367
E14000920,94022,44,2137,1.2,4.11,1.1,6.41,6.817553339,146
E14000921,111496,27,4129,2.66,6.87,2.19,11.72,10.51158786,434
E14000922,92163,135,683,0.25,1.68,0.38,2.31,2.506428827,17
E14000923,94911,25,3796,1.58,4.82,1.46,7.86,8.281442615,314
E14000924,98590,307,321,1.01,3.88,0.64,5.53,5.609088143,18
E14000925,96163,95,1012,0.67,3,0.59,4.26,4.429978266,45
E14000926,104607,602,174,0.72,3.14,0.43,4.29,4.101063982,7
E14000927,116542,284,410,1.68,4.35,1.13,7.16,6.143707848,25
E14000928,98809,2094,47,0.24,1.82,0.12,2.18,2.206276756,1
E14000929,116465,1122,104,0.66,2.93,0.45,4.04,3.468853304,4
E14000930,140512,27,5204,1.24,3.94,0.87,6.05,4.305682077,224
E14000931,101401,33,3073,0.54,2.27,0.36,3.17,3.126201911,96
E14000932,106008,951,111,0.49,2.27,0.18,2.94,2.773375594,3
E14000933,99124,146,679,1.17,3.52,0.7,5.39,5.437633671,37
E14000934,115715,629,184,0.39,1.99,0.21,2.59,2.238257789,4
E14000935,100334,338,297,0.71,2.83,0.23,3.77,3.757450117,11
E14000936,92898,391,238,0.77,3.75,0.4,4.92,5.296131241,13
E14000937,119846,751,160,0.51,2.36,0.23,3.1,2.586652871,4
E14000938,89369,738,121,0.67,3.17,0.35,4.19,4.688426636,6
E14000939,106396,844,126,0.7,2.89,0.49,4.08,3.834730629,5
E14000940,104112,285,365,0.48,2.2,0.26,2.94,2.823881973,10
E14000941,105555,792,133,0.49,2.47,0.31,3.27,3.097911042,4
E14000942,115905,610,190,0.42,1.69,0.3,2.41,2.079289073,4
E14000943,99398,233,427,0.53,2.69,0.37,3.59,3.611742691,15
E14000944,83204,26,3200,1.58,4.79,1.9,8.27,9.939425989,318
E14000945,96652,274,353,0.58,2.34,0.44,3.36,3.476389521,12
E14000946,93592,669,140,0.52,2,0.3,2.82,3.013078041,4
E14000947,106597,124,860,0.77,3.25,0.35,4.37,4.09955252,35
E14000948,101019,138,732,1.25,4.22,1.22,6.69,6.622516556,48
E14000949,111174,127,875,0.94,2.98,0.45,4.37,3.930775181,34
E14000950,89894,379,237,0.35,2.2,0.25,2.8,3.114779629,7
E14000951,110218,174,633,0.47,1.85,0.4,2.72,2.46783647,16
E14000952,108602,1313,83,0.83,3.43,0.42,4.68,4.309312904,4
E14000953,105008,256,410,0.39,2.03,0.25,2.67,2.542663416,10
E14000954,101679,737,138,0.72,2.82,0.41,3.95,3.884774634,5
E14000955,111449,25,4458,1.2,4.3,0.45,5.95,5.338764816,238
E14000956,113647,24,4735,1.13,4.39,0.45,5.97,5.253108309,249
E14000957,91514,24,3813,0.61,2.71,0.47,3.79,4.141442839,158
E14000958,91786,78,1177,0.64,3.83,0.51,4.98,5.425664045,64
E14000959,98902,51,1939,0.71,2.17,0.41,3.29,3.326525247,65
E14000960,102626,67,1532,0.47,2.21,0.41,3.09,3.010932902,46
E14000961,104639,403,260,0.95,4.38,0.5,5.83,5.571536425,14
E14000962,98205,84,1169,1.33,5.32,0.61,7.26,7.392698946,86
E14000963,102406,64,1600,1.46,6.2,0.72,8.38,8.183114271,131
E14000964,86635,546,159,0.68,3.42,0.37,4.47,5.159577538,8
E14000965,97721,291,336,0.68,2.95,0.34,3.97,4.062586343,14
E14000966,78368,513,153,0.35,2.31,0.27,2.93,3.738770927,6
E14000967,93339,63,1482,0.98,4.68,0.67,6.33,6.781731109,100
E14000968,97446,63,1547,0.96,3.05,0.63,4.64,4.761611559,74
E14000969,88513,22,4023,1.05,4.53,0.76,6.34,7.162789647,288
E14000970,92653,125,741,1.84,4.96,1.55,8.35,9.012120493,67
E14000971,103028,84,1227,1.08,3.2,1,5.28,5.124820437,63
E14000972,84996,30,2833,1.2,5.21,1.15,7.56,8.894536213,252
E14000973,98607,42,2348,1.35,5.7,1.09,8.14,8.254992039,194
E14000974,90002,33,2727,1.13,5.15,0.58,6.86,7.622052843,208
E14000975,85151,621,137,0.32,2.21,0.2,2.73,3.206069218,4
E14000976,90021,27,3334,0.86,2.84,0.88,4.58,5.087701758,170
E14000977,90142,671,134,0.35,1.79,0.09,2.23,2.473874553,3
E14000978,125987,10,12599,1.29,3.84,1.39,6.52,5.175137117,652
E14000979,100890,47,2147,0.96,4.39,0.71,6.06,6.006541778,129
E14000980,104117,401,260,0.51,2.76,0.22,3.49,3.351998233,9
E14000981,100080,784,128,0.53,2.69,0.24,3.46,3.457234213,4
E14000982,101676,31,3280,1.53,5.94,1.49,8.96,8.812305756,289
E14000983,109034,108,1010,0.47,2.02,0.29,2.78,2.549663408,26
E14000984,100821,18,5601,0.31,1.63,0.21,2.15,2.132492239,119
E14000985,94743,58,1634,0.47,2.12,0.42,3.01,3.177015716,52
E14000986,95800,180,532,0.94,3.13,0.34,4.41,4.603340292,25
E14000987,85849,330,260,0.32,1.99,0.17,2.48,2.888793113,8
E14000988,115515,463,249,0.58,3.23,0.3,4.11,3.557979483,9
E14000989,94586,51,1855,1.59,4.95,0.8,7.34,7.760133635,144
E14000990,104606,369,283,0.6,2.2,0.37,3.17,3.030418905,9
E14000991,99020,1240,80,0.31,1.78,0.22,2.31,2.332862048,2
E14000992,93523,345,271,0.72,3.17,0.4,4.29,4.587106915,12
E14000993,99807,2139,47,0.33,2.07,0.14,2.54,2.54491168,1
E14000994,85926,397,216,0.43,1.72,0.21,2.36,2.746549356,6
E14000995,125582,75,1674,1.64,3.8,1.24,6.68,5.319233648,89
E14000996,100742,905,111,0.58,2.67,0.38,3.63,3.603263783,4
E14000997,104198,301,346,0.66,2.07,0.41,3.14,3.013493541,10
E14000998,107708,11,9792,0.8,2.91,0.75,4.46,4.140825194,405
E14000999,99125,92,1077,1.26,5.72,0.83,7.81,7.878940731,85
E14001000,100578,1717,59,0.67,3.47,0.37,4.51,4.484082006,3
E14001001,84350,581,145,0.64,2.91,0.3,3.85,4.564315353,7
E14001002,145599,13,11200,2.15,6.51,2.35,11.01,7.561865123,847
E14001003,93889,456,206,0.61,3.05,0.42,4.08,4.345556988,9
E14001004,107111,248,432,0.55,2.43,0.43,3.41,3.183613261,14
E14001005,118287,29,4079,0.48,2.11,0.56,3.15,2.663014532,109
E14001006,99540,39,2552,0.88,3.56,0.8,5.24,5.264215391,134
E14001007,110327,30,3678,0.82,2.57,0.62,4.01,3.634649723,134
E14001008,122718,9,13635,1.38,4.83,1.5,7.71,6.282696915,857
E14001009,98188,78,1259,1.06,4.27,0.95,6.28,6.395893592,81
E14001010,89732,40,2243,1.33,5.82,0.53,7.68,8.558819596,192
E14001011,98102,27,3633,2.25,5.12,1.46,8.83,9.000835865,327
E14001012,103080,33,3124,1.65,4.76,1.38,7.79,7.557237097,236
E14001013,118385,16,7399,1.29,3.74,1.42,6.45,5.448325379,403
E14001014,81247,139,585,1.21,3.91,1.17,6.29,7.741824314,45
E14001015,115234,584,197,0.57,2.1,0.28,2.95,2.560008331,5
E14001016,97545,19,5134,1.55,4.35,1.54,7.44,7.627248962,392
E14001017,96753,91,1063,0.73,3.87,0.34,4.94,5.105784834,54
E14001018,112056,91,1231,0.5,3.02,0.28,3.8,3.391161562,42
E14001019,100380,90,1115,0.59,2.74,0.35,3.68,3.666068938,41
E14001020,88309,43,2054,1.54,4.77,1.17,7.48,8.470257845,174
E14001021,122151,37,3301,0.77,3.02,0.79,4.58,3.749457638,124
E14001022,103554,252,411,0.85,4.1,0.31,5.26,5.079475443,21
E14001023,108029,571,189,0.51,2.31,0.31,3.13,2.897370151,5
E14001024,88617,169,524,0.73,3.3,0.24,4.27,4.818488552,25
E14001025,111374,165,675,1.13,3.61,0.82,5.56,4.992188482,34
E14001026,106574,577,185,0.42,3.08,0.11,3.61,3.387317732,6
E14001027,116627,114,1023,0.85,2.95,0.6,4.4,3.772711293,39
E14001028,97658,90,1085,1.49,5.44,1.03,7.96,8.150893936,88
E14001029,92126,28,3290,1.45,4.5,1.48,7.43,8.065041356,265
E14001030,94674,27,3506,1.79,4.68,1.49,7.96,8.407799396,295
E14001031,97423,1038,94,0.46,2.6,0.2,3.26,3.346232409,3
E14001032,180321,18,10018,1.87,6.31,1.98,10.16,5.634396437,564
E14001033,97233,262,371,0.81,3.5,0.42,4.73,4.864603581,18
E14001034,119442,818,146,0.71,2.91,0.43,4.05,3.390767067,5
E14001035,93871,705,133,0.56,2.49,0.32,3.37,3.590033131,5
E14001036,131142,8,16393,1.29,5.5,1.07,7.86,5.993503226,983
E14001037,83695,1478,57,0.19,1.87,0.1,2.16,2.580799331,1
E14001038,110053,159,692,0.97,5.3,0.55,6.82,6.197014166,43
E14001039,103541,61,1697,1.04,4.8,0.93,6.77,6.538472682,111
E14001040,97816,21,4658,0.38,1.39,0.45,2.22,2.269567351,106
E14001041,100818,325,310,0.35,1.87,0.22,2.44,2.420202742,8
E14001042,104854,148,708,0.34,1.46,0.32,2.12,2.021858966,14
E14001043,72826,88,828,0.39,2.52,0.16,3.07,4.215527422,35
E14001044,69108,100,691,0.43,2.45,0.22,3.1,4.485732477,31
E14001045,90906,385,236,0.54,2.07,0.39,3,3.300112204,8
E14001046,108674,714,152,0.5,1.93,0.29,2.72,2.502898577,4
E14001047,106722,99,1078,0.53,2.22,0.32,3.07,2.876632747,31
E14001048,107440,156,689,0.35,1.36,0.29,2,1.861504095,13
E14001049,90465,25,3619,1.75,4.32,1.72,7.79,8.611065053,312
E14001050,92153,25,3686,1.75,4.69,1.75,8.19,8.887393791,328
E14001051,86336,23,3754,0.91,3.57,1.5,5.98,6.926426983,260
E14001052,102338,33,3101,0.91,3.66,0.67,5.24,5.120287674,159
E14001053,79010,738,107,0.54,3.1,0.34,3.98,5.037337046,5
E14001054,102349,60,1706,1.46,5.31,0.82,7.59,7.415802792,127
E14001055,97787,32,3056,0.61,3.37,0.48,4.46,4.560933457,139
E14001056,112422,140,803,0.76,2.44,0.73,3.93,3.495757058,28
E14001057,89764,269,334,0.24,2.12,0.2,2.56,2.85192282,10
E14001058,99902,195,512,0.9,3.86,0.49,5.25,5.255150047,27
E14001059,108092,37,2921,1.65,6.25,0.69,8.59,7.946934093,232
E14001060,109793,401,274,0.69,3.42,0.37,4.48,4.080405855,11
E14001061,111775,23,4860,0.74,3.56,0.42,4.72,4.222768955,205
E14001062,96592,249,388,0.26,1.75,0.16,2.17,2.246562862,9
W07000041,69723,749,93,0.69,2.91,0.64,4.24,6.081207062,6
W07000042,69546,333,209,0.65,2.74,0.36,3.75,5.392114572,11
W07000043,84873,157,541,0.65,2.71,0.3,3.66,4.312325475,23
W07000044,71194,103,691,0.83,3.33,0.47,4.63,6.503357024,45
W07000045,82286,276,298,0.99,5.09,0.66,6.74,8.190943781,24
W07000046,78694,334,236,0.61,3.22,0.31,4.14,5.26088393,12
W07000047,83252,37,2250,0.85,4.77,0.94,6.56,7.879690578,177
W07000048,82567,50,1651,1.46,5.83,0.88,8.17,9.894994368,163
W07000049,67440,187,361,1.21,5.3,0.54,7.05,10.45373665,38
W07000050,93834,17,5520,0.78,3.44,1.05,5.27,5.616301128,310
W07000051,89529,43,2082,0.52,2.7,0.5,3.72,4.155078243,87
W07000052,69409,100,694,1.37,5.69,0.86,7.92,11.41062398,79
W07000053,82169,118,696,1.18,5.01,0.61,6.8,8.275627061,58
W07000054,84996,839,101,0.5,2.95,0.34,3.79,4.459033366,5
W07000055,80149,167,480,1.14,3.88,0.89,5.91,7.37376636,35
W07000056,86729,107,811,1.1,4.44,1.03,6.57,7.575320827,61
W07000057,62322,437,143,0.61,2.44,0.55,3.6,5.776451333,8
W07000058,58641,623,94,0.47,2.33,0.32,3.12,5.320509541,5
W07000059,73353,931,79,0.73,3.41,0.46,4.6,6.271045492,5
W07000060,71661,224,320,1.15,4.38,0.49,6.02,8.400664239,27
W07000061,61305,2185,28,0.37,2.05,0.2,2.62,4.2737134,1
W07000062,73204,623,118,0.86,3.15,0.39,4.4,6.010600514,7
W07000063,63264,2182,29,0.39,2.22,0.2,2.81,4.441704603,1
W07000064,74146,1806,41,0.45,2.91,0.3,3.66,4.936206943,2
W07000065,78242,1193,66,0.82,3.3,0.61,4.73,6.045346489,4
W07000066,77395,1059,73,0.71,3.34,0.6,4.65,6.008140061,4
W07000067,71641,1561,46,0.54,3.33,0.47,4.34,6.057983557,3
W07000068,68896,3015,23,0.41,2.67,0.22,3.3,4.789828147,1
W07000069,74148,265,280,1,4.94,0.61,6.55,8.833683983,25
W07000070,70477,182,387,1.35,5.59,0.7,7.64,10.84041602,42
W07000071,76030,162,469,1.34,5.75,1.01,8.1,10.65368933,50
W07000072,69628,109,639,1.13,5.14,0.87,7.14,10.25449532,66
W07000073,83013,89,933,0.91,4.07,0.6,5.58,6.721838748,63
W07000074,76858,203,379,1.22,4.89,0.68,6.79,8.834473965,33
W07000075,81726,105,778,0.82,3.97,0.56,5.35,6.546264347,51
W07000076,88199,115,767,1.22,5.17,0.91,7.3,8.276737831,63
W07000077,76043,112,679,0.92,4.24,0.71,5.87,7.719316702,52
W07000078,99254,322,308,1.12,4.45,0.81,6.38,6.427952526,20
W07000079,93030,51,1824,1.53,5.33,1.14,8,8.599376545,157
W07000080,114284,57,2005,1.78,6.14,1.32,9.24,8.085121277,162
S14000001,103315,57,1813,0.9,4.84,1.51,7.25,7.01737405,127
S14000002,95529,92,1038,0.43,2.83,1,4.26,4.459378827,46
S14000003,86795,229,379,1.28,5.43,0.97,7.68,8.84843597,34
S14000004,86591,1987,44,0.82,3.91,0.89,5.62,6.4902819,3
S14000005,87130,7164,12,0.57,3.48,0.59,4.64,5.325375875,1
S14000006,92159,1636,56,1.22,5.37,1.02,7.61,8.257468071,5
S14000007,92724,1600,58,0.67,3.63,0.74,5.04,5.435485958,3
S14000008,94330,3843,25,0.68,3.84,0.62,5.14,5.448955793,1
S14000009,61038,8752,7,0.6,2.8,0.5,3.9,6.389462302,0
S14000010,87082,237,367,1,4.75,1,6.75,7.751314853,28
S14000011,94497,83,1139,1.18,5.84,0.88,7.9,8.360053758,95
S14000012,87189,191,456,0.89,4.19,0.62,5.7,6.537521935,30
S14000013,96018,4150,23,0.92,4.59,0.62,6.13,6.384219625,1
S14000014,86105,4376,20,0.63,3.23,0.48,4.34,5.040357703,1
S14000015,89863,159,565,0.96,4.38,0.85,6.19,6.888263245,39
S14000016,88336,120,736,1.22,6.14,1.45,8.81,9.973283825,73
S14000017,100682,240,420,0.9,4.11,0.9,5.91,5.869966826,25
S14000018,83753,85,985,0.28,2,0.24,2.52,3.008847444,30
S14000019,102073,408,250,0.83,4.39,0.71,5.93,5.809567662,15
S14000020,104090,701,148,0.55,3.18,0.19,3.92,3.765971755,6
S14000021,93810,174,539,0.48,2.76,0.39,3.63,3.869523505,21
S14000022,102907,27,3811,0.88,5.18,0.84,6.9,6.70508323,256
S14000023,111705,21,5319,0.71,4.39,0.98,6.08,5.442907659,290
S14000024,90540,29,3122,0.5,2.63,0.4,3.53,3.898829247,122
S14000025,104426,90,1160,0.78,4.27,0.81,5.86,5.611629288,65
S14000026,97592,106,921,0.65,3,0.49,4.14,4.242150996,39
S14000027,26900,3268,8,0.11,0.97,0.21,1.29,4.795539033,0
S14000028,111129,181,614,1.04,5.12,0.92,7.08,6.370974273,39
S14000029,99189,21,4723,1.15,6.94,1.49,9.58,9.658329049,456
S14000030,92233,39,2365,1.95,8.77,1.38,12.1,13.11894875,310
S14000031,76789,17,4517,0.75,4.3,1.04,6.09,7.930823425,358
S14000032,86002,28,3072,1.87,8.48,1.56,11.91,13.84851515,425
S14000033,86876,19,4572,1.37,6.69,1.23,9.29,10.69340209,489
S14000034,88554,27,3280,1.1,5.65,0.97,7.72,8.717844479,286
S14000035,86539,27,3205,1.6,7.31,1.29,10.2,11.78659333,378
S14000036,88121,178,495,1.48,5.71,1.13,8.32,9.441563305,47
S14000037,103260,1523,68,0.39,2.14,0.62,3.15,3.050552005,2
S14000038,79160,174,455,0.92,5.12,0.48,6.52,8.236483072,37
S14000039,104649,4953,21,0.47,3.34,0.17,3.98,3.80318971,1
S14000040,96983,702,138,1.27,5.23,1.28,7.78,8.022024479,11
S14000041,98870,154,642,1.31,5.21,1.38,7.9,7.99029028,51
S14000042,97297,364,267,1.17,5.23,0.85,7.25,7.451411657,20
S14000043,118006,294,401,1.13,5.69,0.87,7.69,6.516617799,26
S14000044,110375,271,407,1.21,5.64,0.72,7.57,6.858437146,28
S14000045,88610,355,250,0.84,3.74,0.39,4.97,5.60884776,14
S14000046,96070,2257,43,0.62,3.23,0.7,4.55,4.736129905,2
S14000047,93584,58,1614,1.34,6.36,1.2,8.9,9.510172679,153
S14000048,94336,834,113,1.2,5.49,1.28,7.97,8.448524423,10
S14000049,82657,802,103,0.41,2.41,0.43,3.25,3.931911393,4
S14000050,103430,1722,60,0.86,4.24,0.65,5.75,5.559315479,3
S14000051,45050,2743,16,0.15,1.37,0.13,1.65,3.662597114,1
S14000052,90607,131,692,0.86,4.28,0.71,5.85,6.456454799,45
S14000053,85323,138,618,1,5.47,1.16,7.63,8.94248913,55
S14000054,98600,3861,26,0.72,3.95,0.54,5.21,5.283975659,1
S14000055,69083,12768,5,0.35,2.14,0.21,2.7,3.908342139,0
S14000056,105327,52,2026,1.53,6.62,0.98,9.13,8.668242711,176
S14000057,93750,2255,42,0.67,3.44,0.5,4.61,4.917333333,2
S14000058,97202,3271,30,0.25,1.76,0.54,2.55,2.623402811,1
S14000059,89860,183,491,1.42,6.05,1.25,8.72,9.703983975,48