id,name,q,r
E05001349,"Craven",-3,5
E05001354,"Ilkley",-2,5
E05001355,"Keighley Central",-3,4
E05001366,"Wharfedale",-1,4
E05001357,"Keighley West",-4,3
E05001356,"Keighley East",-3,3
E05001342,"Bingley",-2,3
E05001341,"Baildon",-1,3
E05001369,"Worth Valley",-4,2
E05001343,"Bingley Rural",-3,2
E05001362,"Shipley",-2,2
E05001368,"Windhill &amp; Wrose",-1,2
E05001353,"Idle &amp; Thackley",0,2
E05001363,"Thornton &amp; Allerton",-3,1
E05001352,"Heaton",-2,1
E05001359,"Manningham",-1,1
E05001344,"Bolton &amp; Undercliffe",0,1
E05001350,"Eccleshill",1,1
E05001360,"Queensbury",-2,0
E05001364,"Toller",-1,0
E05001347,"City",0,0
E05001345,"Bowling &amp; Barkerend",1,0
E05001346,"Bradford Moor",2,0
E05001348,"Clayton &amp; Fairweather Green",-2,-1
E05001351,"Great Horton",-1,-1
E05001358,"Little Horton",0,-1
E05001365,"Tong",1,-1
E05001361,"Royds",-2,-2
E05001367,"Wibsey",-1,-2
E05001370,"Wyke",0,-2